x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89654.52089668505,43127.45851788604,0,0,0,0,0,0
89654.22340381876,43126.812774517806,0,0,0,0,0,1
89653.90789484818,43126.25019916287,0,0,0,0,0,2
89653.57915091235,43125.80608169508,0,0,0,0,0,3
89653.20684017368,43125.404289486585,0,0,0,0,0,4
89652.78316111071,43125.03263513628,0,0,0,0,0,5
89652.30611433499,43124.68495072102,0,0,0,0,0,6
89651.77010151316,43124.355661530455,0,0,0,0,0,7
89651.21041251716,43124.0487202574,0,0,0,0,0,8
89650.61860312748,43123.78933872193,0,0,0,0,0,9
89649.98128291243,43123.59265275258,0,0,0,0,0,10
89649.28049247865,43123.46824998869,0,0,0,0,0,11
89648.40184845969,43123.44891424936,0,0,0,0,0,12
89647.33875351581,43123.51042512927,0,0,0,0,0,13
89646.10201710272,43123.635271155326,0,0,0,0,0,14
89644.72520276014,43123.806776894766,0,0,0,0,0,15
89643.25508717791,43124.01898488426,0,0,0,0,0,16
89641.74612586615,43124.20837730047,0,0,0,0,0,17
89640.38373199174,43124.46763926888,0,0,0,0,0,18
89639.1660252477,43124.78063850058,0,0,0,0,0,19
89638.11502956825,43125.15893242935,0,0,0,0,0,20
89637.34241143618,43125.58786327492,0,0,0,0,0,21
89636.67583725687,43126.09845361191,0,0,0,0,0,22
89636.08362413484,43126.67145650768,0,0,0,0,0,23
89635.56149207214,43127.36406667311,0,0,0,0,0,24
89635.0486650309,43128.09830954501,0,0,0,0,0,25
89634.5326432548,43128.85961102805,0,0,0,0,0,26
89634.00511442134,43129.63550524348,0,0,0,0,0,27
89633.46607853053,43130.42599219129,0,0,0,0,0,28
89632.8907256626,43131.15562881045,0,0,0,0,0,29
89632.31537279466,43131.88526542961,0,0,0,0,0,30
89631.74001992673,43132.61490204877,0,0,0,0,0,31
89631.16466705881,43133.34453866793,0,0,0,0,0,32
89630.58931419087,43134.074175287096,0,0,0,0,0,33
89630.01396132295,43134.803811906255,0,0,0,0,0,34
89629.43860845502,43135.53344852541,0,0,0,0,0,35
89628.86325558709,43136.26308514457,0,0,0,0,0,36
89628.28790271915,43136.99272176375,0,0,0,0,0,37
89627.71254985123,43137.7223583829,0,0,0,0,0,38
89627.1371969833,43138.45199500206,0,0,0,0,0,39
89626.56184411535,43139.18163162122,0,0,0,0,0,40
89625.98649124744,43139.91126824039,0,0,0,0,0,41
89625.41113837951,43140.640904859545,0,0,0,0,0,42
89624.83578551156,43141.37054147871,0,0,0,0,0,43
89624.26043264364,43142.10017809787,0,0,0,0,0,44
89623.68507977572,43142.82981471703,0,0,0,0,0,45
89623.10972690777,43143.559451336194,0,0,0,0,0,46
89622.53437403985,43144.28908795535,0,0,0,0,0,47
89621.95902117192,43145.01872457452,0,0,0,0,0,48
89621.38366830398,43145.74836119368,0,0,0,0,0,49
89620.80831543605,43146.47799781284,0,0,0,0,0,50
89620.23296256813,43147.207634432,0,0,0,0,0,51
89619.6576097002,43147.93727105116,0,0,0,0,0,52
89619.08225683228,43148.666907670326,0,0,0,0,0,53
89618.50690396434,43149.39654428949,0,0,0,0,0,54
89617.93155109641,43150.12618090864,0,0,0,0,0,55
89617.35619822847,43150.8558175278,0,0,0,0,0,56
89616.78084536055,43151.58545414696,0,0,0,0,0,57
89616.20959786577,43152.32196512535,0,0,0,0,0,58
89615.65109105488,43153.07246346619,0,0,0,0,0,59
89615.11271839053,43153.84403755337,0,0,0,0,0,60
89614.61066801871,43154.646794437416,0,0,0,0,0,61
89614.1629018673,43155.50425761151,0,0,0,0,0,62
89613.75076650761,43156.45659795139,0,0,0,0,0,63
89613.57267437075,43157.48357854793,0,0,0,0,0,64
