x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89653.10045852193,43125.0396609661,0,0,0,0,0,0
89652.67262715445,43124.39731085026,0,0,0,0,0,1
89652.26335771558,43123.89832615142,0,0,0,0,0,2
89651.87540058981,43123.52067877482,0,0,0,0,0,3
89651.41968934798,43123.24021810515,0,0,0,0,0,4
89650.74761685901,43122.9154139103,0,0,0,0,0,5
89650.03934902101,43122.63355927536,0,0,0,0,0,6
89649.28190548214,43122.38507856488,0,0,0,0,0,7
89648.5132660921,43122.185789046285,0,0,0,0,0,8
89647.71723240436,43122.03869884944,0,0,0,0,0,9
89647.09077145011,43121.97298359306,0,0,0,0,0,10
89646.3947221776,43121.95808546592,0,0,0,0,0,11
89645.62890698423,43121.9949312326,0,0,0,0,0,12
89644.76845125358,43122.077633033165,0,0,0,0,0,13
89643.76622676014,43122.23559897104,0,0,0,0,0,14
89642.68007934798,43122.40428088433,0,0,0,0,0,15
89641.59567953685,43122.6005864456,0,0,0,0,0,16
89640.5396960825,43122.82437043272,0,0,0,0,0,17
89639.53631680257,43123.07665942302,0,0,0,0,0,18
89638.59823062943,43123.36491977004,0,0,0,0,0,19
89637.84060567195,43123.68251068572,0,0,0,0,0,20
89637.12936905841,43124.14138979602,0,0,0,0,0,21
89636.40208623341,43124.61370208933,0,0,0,0,0,22
89635.69975391317,43125.200320135584,0,0,0,0,0,23
89635.01520072714,43125.88956717974,0,0,0,0,0,24
89634.34721931424,43126.66385512428,0,0,0,0,0,25
89633.6960716367,43127.50472059741,0,0,0,0,0,26
89633.06319920279,43128.393840277815,0,0,0,0,0,27
89632.4303267689,43129.28295995823,0,0,0,0,0,28
89631.79745433498,43130.17207963864,0,0,0,0,0,29
89631.16458190107,43131.06119931906,0,0,0,0,0,30
89630.53170946715,43131.95031899947,0,0,0,0,0,31
89629.89883703327,43132.83943867988,0,0,0,0,0,32
89629.26596459936,43133.7285583603,0,0,0,0,0,33
89628.63309216543,43134.61767804071,0,0,0,0,0,34
89628.00021973155,43135.50679772112,0,0,0,0,0,35
89627.36734729764,43136.39591740154,0,0,0,0,0,36
89626.73447486371,43137.28503708195,0,0,0,0,0,37
89626.10160242982,43138.17415676237,0,0,0,0,0,38
89625.46872999592,43139.06327644278,0,0,0,0,0,39
89624.835857562,43139.95239612319,0,0,0,0,0,40
89624.2029851281,43140.84151580361,0,0,0,0,0,41
89623.5701126942,43141.73063548402,0,0,0,0,0,42
89622.93724026027,43142.61975516444,0,0,0,0,0,43
89622.30436782638,43143.50887484485,0,0,0,0,0,44
89621.67149539248,43144.39799452527,0,0,0,0,0,45
89621.03862295856,43145.28711420568,0,0,0,0,0,46
89620.40575052465,43146.176233886086,0,0,0,0,0,47
89619.77287809075,43147.0653535665,0,0,0,0,0,48
89619.14000565684,43147.95447324692,0,0,0,0,0,49
89618.50713322293,43148.84359292733,0,0,0,0,0,50
89617.87426078903,43149.73271260774,0,0,0,0,0,51
89617.24138835512,43150.62183228816,0,0,0,0,0,52
89616.60851592121,43151.51095196857,0,0,0,0,0,53
89615.97564348731,43152.40007164898,0,0,0,0,0,54
89615.3427710534,43153.2891913294,0,0,0,0,0,55
89614.70989861949,43154.17831100981,0,0,0,0,0,56
89614.0770261856,43155.06743069023,0,0,0,0,0,57
89613.44415375168,43155.95655037064,0,0,0,0,0,58
89612.81128131777,43156.84567005106,0,0,0,0,0,59
89612.26929644603,43157.65585474356,0,0,0,0,0,60
89611.83055960233,43158.38752152018,0,0,0,0,0,61
89611.50697647347,43159.04295629044,0,0,0,0,0,62
89611.3108711669,43159.62444008877,0,0,0,0,0,63
89611.25561516965,43160.13490461894,0,0,0,0,0,64
89611.19788235109,43160.64220872312,0,0,0,0,0,65
89611.2692564636,43161.17623206275,0,0,0,0,0,66
89611.6675876003,43161.97437003264,0,0,0,0,0,67
89612.13456184346,43162.76503105024,0,0,0,0,0,68
89612.70329596393,43163.53997743248,0,0,0,0,0,69
89613.37586633989,43164.28903216311,0,0,0,0,0,70
89614.15060982037,43164.99931437971,0,0,0,0,0,71
89614.7012372643,43165.48063412543,0,0,0,0,0,72
89615.42111735388,43165.82716375318,0,0,0,0,0,73
89616.19548437276,43166.107519671896,0,0,0,0,0,74
89616.84014763954,43166.242882129314,0,0,0,0,0,75
89617.49707252675,43166.25835860901,0,0,0,0,0,76
89618.12489578762,43166.17802976988,0,0,0,0,0,77
89618.84347260983,43165.92442876236,0,0,0,0,0,78
89619.5631714594,43165.548271438245,0,0,0,0,0,79
89620.29411594562,43165.045678136536,0,0,0,0,0,80
89621.0657786932,43164.3988387868,0,0,0,0,0,81
89621.87210486046,43163.64832587607,0,0,0,0,0,82
89622.60713782856,43162.93978736991,0,0,0,0,0,83
89623.30996488959,43162.08653895126,0,0,0,0,0,84
89624.02932155874,43160.99909655948,0,0,0,0,0,85
89624.70397985734,43159.89208374241,0,0,0,0,0,86
89625.30720138039,43158.78704519793,0,0,0,0,0,87
89625.91448739116,43157.72345372479,0,0,0,0,0,88
89626.61281084332,43156.31511552109,0,0,0,0,0,89
89627.28147309479,43154.96703394946,0,0,0,0,0,90
89627.94063475876,43153.629588759344,0,0,0,0,0,91
89628.5913275927,43152.30427737624,0,0,0,0,0,92
89629.17800669343,43151.161601302,0,0,0,0,0,93
89629.84065363204,43149.81476617289,0,0,0,0,0,94
89630.55227582008,43148.31193540754,0,0,0,0,0,95
89631.26882482467,43146.795337188174,0,0,0,0,0,96
89631.99336100355,43145.262768994624,0,0,0,0,0,97
89632.67071998122,43143.88297143473,0,0,0,0,0,98
89633.31528603977,43142.62654989793,0,0,0,0,0,99
89633.87735968253,43141.67448310676,0,0,0,0,0,100
89634.45010025882,43140.79727416829,0,0,0,0,0,101
89635.02896631777,43140.00664618796,0,0,0,0,0,102
89635.63695286565,43139.23116723323,0,0,0,0,0,103
89636.2634268738,43138.49385069004,0,0,0,0,0,104
89636.89731397798,43137.80536074524,0,0,0,0,0,105
89637.48816294,43137.21757225391,0,0,0,0,0,106
89638.03548369944,43136.73281175781,0,0,0,0,0,107
89638.54008368801,43136.35074784202,0,0,0,0,0,108
89638.99870480674,43136.163885246846,0,0,0,0,0,109
89639.53272110134,43136.061846730176,0,0,0,0,0,110
89640.09658081378,43136.12045682817,0,0,0,0,0,111
89640.79621099329,43136.196710368175,0,0,0,0,0,112
89641.50579683624,43136.32370295456,0,0,0,0,0,113
89642.23195159357,43136.495020796494,0,0,0,0,0,114
89642.96064457616,43136.70609872296,0,0,0,0,0,115
89643.56539706785,43137.02562419117,0,0,0,0,0,116
89644.32874132405,43137.46967598935,0,0,0,0,0,117
89645.0233787728,43137.9625988702,0,0,0,0,0,118
89645.64050144328,43138.5027861462,0,0,0,0,0,119
89646.21142170145,43139.087021380656,0,0,0,0,0,120
89646.67681316094,43139.64324352053,0,0,0,0,0,121
89646.90055632827,43140.09083063165,0,0,0,0,0,122
89647.04160757156,43140.54421011369,0,0,0,0,0,123
89647.09738641334,43141.01022713693,0,0,0,0,0,124
89647.06534889163,43141.49524621397,0,0,0,0,0,125
89646.85049453696,43142.15389347669,0,0,0,0,0,126
89646.52169578968,43142.90772888975,0,0,0,0,0,127
89646.07817570567,43143.753022630335,0,0,0,0,0,128
89645.52345766939,43144.683016716604,0,0,0,0,0,129
89644.866240669,43145.68335412376,0,0,0,0,0,130
89644.26294529418,43146.63006277254,0,0,0,0,0,131
89643.5725053855,43147.580676919526,0,0,0,0,0,132
